,School District,Cash,Equipment,Scholarship,Stipend,Other,Paid Internships,Emp. Hours,Total
1,Corcoran Unified School District,0,600,0,0,44101.87,0,0,44701.87
2,Cutler-Orosi Joint Unified School District,0,0,0,0,0,0,33792.5,33792.5
3,Dinuba Unified School District,0,0,0,0,0,28770.3,189280,218050.3
4,Exeter Unified School District,0,0,0,0,0,0,0,0
5,Hanford Joint Union High School District,0,0,0,0,0,0,0,0
6,Lemoore High School District,0,0,0,0,0,0,0,0
7,Lindsay Unified School District,0,0,0,0,0,6809.4,53025,59834.4
8,Porterville Unified School District,0,0,0,0,0,87937.2,1199502.5,1287439.7
9,Tulare Joint Union High School District,0,0,0,0,0,1760.85,19880,21640.85
10,Visalia Unified School District,0,0,0,0,0,5490.225,70035,75525.225
11,Woodlake Unified High School District,0,0,0,0,0,0,0,0
